Author,Pub Date,Rating,Substance,Title,href
Zany the Loner,Oct 7 2007, ,LSD,Emotionally Beautiful,exp.php?ID=55244
Bobby Van Zimmerman,Jun 9 2007, ,LSD,Residential Neighborhood or Rock Concert?,exp.php?ID=35108
Dopy,Mar 8 2007, ,LSD,Snow White Blotter and the 7 Dwarfs,exp.php?ID=34097
Jim,Feb 26 2007, ,LSD,The Gathering,exp.php?ID=10450
Link,Dec 31 2006, ,LSD,"Grasping, Letting Go, and Nirvana",exp.php?ID=49943
Scrim,Dec 25 2006, ,LSD,"Setting, Setting, and Setting",exp.php?ID=44070
Jerry,Mar 23 2006, ,LSD,Girlfriend's First Voyage to the Antipodes,exp.php?ID=10318
BuddhaIsaG,Mar 15 2006, ,LSD,LSD Is Everything I've Heard It Is,exp.php?ID=50271
Glimpses,Jul 17 2005, ,LSD,Beware of Ego,exp.php?ID=44746
One38,Jul 14 2005, ,LSD,Depression Destruction,exp.php?ID=10165
Lou,Jul 14 2005, ,LSD,A Few of my Favorite Things,exp.php?ID=10143
scaredofwhitevans,Jul 7 2005, ,LSD,"Driving, a Fetus, and Traveling Through TV",exp.php?ID=9634
Tren,Apr 26 2005, ,LSD,A Trip to the Zoo,exp.php?ID=15436
Mat,Feb 9 2005, ,LSD,Born Again,exp.php?ID=9545
scientist,Jan 27 2005, ,LSD,A Little Too Much,exp.php?ID=12882
Brewha,Dec 31 2004, ,LSD,Trails on Fast-Moving Objects,exp.php?ID=39324
cybersmack69,Dec 29 2004, ,LSD,The Best and Worst Trip of My Life,exp.php?ID=12069
Ranger,Aug 6 2004, ,LSD,A Friendly Warning,exp.php?ID=9880
bombodil,May 13 2004, ,LSD,Skating on Thin Ice,exp.php?ID=8865
Tommy The Cat,Mar 31 2004, ,LSD,Flashback Two Years Later,exp.php?ID=32420
DMG,Mar 1 2004, ,LSD,Only Thought Will Exist,exp.php?ID=31407
Justin Case,Nov 19 2003, ,LSD,I Unwittingly Invented Hypertext on LSD,exp.php?ID=28531
Dulcimo,Nov 17 2003, ,LSD,Self Massage,exp.php?ID=28471
recovering,Oct 5 2003, ,LSD,Be Careful,exp.php?ID=18029
Innerself,Oct 2 2003, ,LSD,Never Underestimate the Power of LSD,exp.php?ID=24193
peace and fro,Oct 2 2003, ,LSD,Beyond Eye,exp.php?ID=26596
SierraMagick,Jul 12 2003, ,LSD,I am One with the Goddess and He is My God,exp.php?ID=24991
Vivienne,Jun 2 2003, ,LSD,There's a Plane in My Living Room,exp.php?ID=24164
Infojunkie,Apr 3 2003, ,LSD,The Lesson,exp.php?ID=22648
Moody,Mar 12 2003, ,LSD,Daily Use,exp.php?ID=20972
Tad,May 28 2002, ,LSD,Red Fire Against,exp.php?ID=6896
Colleen C.,Mar 23 2002, ,LSD,Bill The Trip Gnome,exp.php?ID=6661
serpico009,Feb 28 2002, ,LSD,The Good the Bad and the Very Unpleasant,exp.php?ID=6486
mby,Feb 28 2002, ,LSD,Microdot Mayhem,exp.php?ID=6560
Bailey,Feb 18 2002, ,LSD,Everyone and the Band Were Wired In,exp.php?ID=6288
Anonymous,Jan 17 2002, ,LSD,24 Beafterthats,exp.php?ID=5553
Pookyhead,Jan 14 2002, ,LSD,You Said They Were Weak!,exp.php?ID=5420
JRT,Dec 26 2001, ,LSD,New Year's Trip inside Two Souls,exp.php?ID=4466
Crazy S,Dec 16 2001, ,LSD,Beyond What is Real,exp.php?ID=3108
U of T Tripper,Nov 30 2001, ,LSD,Heavenly Bliss,exp.php?ID=2885
DHA,Nov 28 2001, ,LSD,Acid in the Woods,exp.php?ID=2765
broken hero,Nov 19 2001, ,LSD,US Air Force Tests for LSD,exp.php?ID=10695
Ergot,Nov 6 2001, ,LSD,En la Montaña Fluctuante,exp.php?ID=2647
vertis syers,Aug 20 2001, ,LSD,Peeling Clouds and Dancing Trees,exp.php?ID=3443
Anonymous,Jul 30 2001, ,LSD,Running on Autopilot,exp.php?ID=117
aphid,Jun 6 2001, ,LSD,LSD and Raving,exp.php?ID=7273
Misphunkshinz,May 15 2001, ,LSD,Out of Body LSD,exp.php?ID=1384
guff103,May 11 2001, ,LSD,Seeing the Music,exp.php?ID=1382
william d.,Feb 4 2001, ,LSD,Inverted Brain Octopus,exp.php?ID=4026
Daytripper,Feb 4 2001, ,LSD,Entities of Ambience,exp.php?ID=4388
Quale,Feb 4 2001, ,LSD,LSD First Time and Belief in God,exp.php?ID=4926
Ched,Feb 3 2001, ,LSD,Mind-Blowingly Intense Out of Body Experience,exp.php?ID=2690
Glow,Feb 3 2001, ,LSD,Touching the Sky with my Mind,exp.php?ID=2468
Moondog,Jan 15 2001, ,LSD,Never Underestimate the Power of LSD,exp.php?ID=4600
Jeff,Jan 7 2001, ,LSD,"Fear and Loathing in Eau Claire, WI",exp.php?ID=1084
Bry,Jan 6 2001, ,LSD,A True Bonding Experience,exp.php?ID=1057
Aurora Borealis,Nov 26 2000, ,LSD,Friend,exp.php?ID=3896
BoxBoy,Nov 20 2000, ,LSD,LSD as a supplement to daily life,exp.php?ID=3677
Jupiter,Nov 1 2000, ,LSD,I Wasn't in the Photograph,exp.php?ID=1533
Annie B,Oct 24 2000, ,LSD,Santa's On the Loose,exp.php?ID=841
Pookyhead,Oct 18 2000, ,LSD,Tripping Into the New Millenium,exp.php?ID=761
Omega,Sep 20 2000, ,LSD,This Can`t Be Real?!?!  My Only Thought,exp.php?ID=1312
wisteria,Sep 10 2000, ,LSD,"First Trip, Mixed Reaction",exp.php?ID=714
Sktbx,Jul 31 2000, ,LSD,LSD Less Effective For Me,exp.php?ID=472
Bill,Jun 23 2000, ,LSD,Beyond Our Grasp,exp.php?ID=661
Anonymous,Jun 21 2000, ,LSD,Paranoia,exp.php?ID=2004
Michael,Jun 21 2000, ,LSD,Visions of Blood and Warriors,exp.php?ID=2001
Anonymous,Jun 20 2000, ,LSD,"1 Blotter, 2 Nutters and a Telephone Call",exp.php?ID=1590
Jake,Jun 20 2000, ,LSD,Pestered by Police,exp.php?ID=1996
Slazbo,Jun 20 2000, ,LSD,"Sunsets, Skydiving and LSD",exp.php?ID=1994
Anonymous,Jun 20 2000, ,LSD,The Earth Below,exp.php?ID=1991
Roc Shaman,Jun 20 2000, ,LSD,A Plateau of Sparkling Clarity,exp.php?ID=1988
G 96,Jun 20 2000, ,LSD,Brain Wrapped Around the Universe,exp.php?ID=1987
Big J,Jun 20 2000, ,LSD,The Hurried Treadmill Stopped,exp.php?ID=1986
Anonymous,Jun 20 2000, ,LSD,Fundamental Sensations,exp.php?ID=1985
Fuzzy Cupid,Jun 20 2000, ,LSD,A Stoned Encounter,exp.php?ID=1984
Joel,Jun 20 2000, ,LSD,Tripping on a Cruise Ship,exp.php?ID=1983
James,Jun 20 2000, ,LSD,Thoughts on LSD,exp.php?ID=1982
Chronotron,Jun 20 2000, ,LSD,The Game,exp.php?ID=1981
e is4 Pete,May 29 2000, ,LSD,Mother Nature and the Mountain,exp.php?ID=8
qualiarabbit,Dec 21 2018,New,LSD,Gave Me the Energy Im Usually Lacking,exp.php?ID=110619
EntropyRising,Dec 17 2018,New,LSD,Introduction to *FUN*,exp.php?ID=50818
KDO,Dec 15 2018,New,LSD,Thank You for Changing My Life,exp.php?ID=38734
Adlai,Dec 14 2018,New,LSD,Anecdotal Tinnitus Kinematics,exp.php?ID=112660
Ben,Nov 27 2018,New,LSD,"Fantasy, Mystery, Bliss, and OBLIVION",exp.php?ID=21485
Justin,Nov 18 2018, ,LSD,A Normal College Weekday,exp.php?ID=67651
5t0n3r420,Nov 17 2018, ,LSD,A Walk Through Her Kaleidoscope Eyes,exp.php?ID=91041
Veetro,Oct 31 2018, ,LSD,I Didn't Know What to Believe That Halloween,exp.php?ID=62393
kingchampmarschillz,Oct 30 2018, ,LSD,Constant Sidetracked Thinking,exp.php?ID=32929
keyser,Oct 30 2018, ,LSD,Halloween in Hell,exp.php?ID=16365
strait_out_da_hood,Oct 4 2018, ,LSD,2 Hits in School on Halloween,exp.php?ID=75399
r007ph07oN,Sep 12 2018, ,LSD,A Needle and a Hurricane,exp.php?ID=50355
Bob joe,Sep 11 2018, ,LSD,A Hell of a Night,exp.php?ID=76050
Sin,Aug 3 2018, ,LSD,Sex and Cranberry Juice,exp.php?ID=34149
Lance Knight,Aug 3 2018, ,LSD,A Head Full in Class,exp.php?ID=53355
cal,Jul 24 2018, ,LSD,Weaker Than I Had Hoped,exp.php?ID=31034
TheMadMarchHare,Jul 22 2018, ,LSD,"Lucy Is My Ally, My Teacher, My Lover",exp.php?ID=72119
Gim,Jul 15 2018, ,LSD,Dunes and Rainbows,exp.php?ID=51693
Rahu,Jul 13 2018, ,LSD,Taken by Surprise,exp.php?ID=60233
Logan Oakwood,Jul 8 2018, ,LSD,Candy Land,exp.php?ID=112086
The Sublime Surfer,Jul 5 2018, ,LSD,Meeting My Higher Self,exp.php?ID=65847
Psychonaut_Len,Jun 28 2018, ,LSD,Painting Realizations My Awakening,exp.php?ID=105058
jhewtonj,Jun 18 2018, ,LSD,It Made Me See and Understand How the World Works,exp.php?ID=111719
LSD,Jun 17 2018, ,LSD,Lost My Mind,exp.php?ID=57582
LSD,Jun 17 2018, ,LSD,"Beautiful, Absolutely Beautiful",exp.php?ID=52711
LSD,Jun 17 2018, ,LSD,Insane Night,exp.php?ID=63774
A.,Jun 11 2018, ,LSD,Life Is Love,exp.php?ID=111006
The Voyager,Jun 10 2018, ,LSD,The Unexpected Turn,exp.php?ID=112000
penelope,May 31 2018, ,LSD,1 Hit Wonder,exp.php?ID=43369
Marduk,Apr 25 2018, ,LSD,The Beaver Against The Lion,exp.php?ID=111846
PrvilegedDuchess,Apr 20 2018, ,LSD,First Time Now Last Time Never,exp.php?ID=108767
Tryp,Apr 20 2018, ,LSD,Day Trip in the NIghtosphere,exp.php?ID=111114
Knight Rider,Apr 19 2018, ,LSD,Insignificant to the World,exp.php?ID=52630
Courtney,Apr 19 2018, ,LSD,Abuse?,exp.php?ID=20389
Anonymous,Apr 19 2018, ,LSD,Advice from Bruce Lee,exp.php?ID=111468
Bruce McConnell,Apr 19 2018, ,LSD,Birth Memory,exp.php?ID=79486
Wodin-One-Eye,Apr 19 2018, ,LSD,Plastic Fantastic Land,exp.php?ID=111456
Hunter_S._Thompson,Apr 11 2018, ,LSD,The Trip That Wouldnt End,exp.php?ID=110817
blue,Apr 4 2018, ,LSD,Seeing My DNA Code,exp.php?ID=39747
Teary Eyed,Mar 19 2018, ,LSD,The Ghost in the Machine,exp.php?ID=77218
yoga123,Feb 25 2018, ,LSD,Feeling Inside My Own Body With Yoga,exp.php?ID=89126
Kayleigh_foster,Feb 21 2018, ,LSD,Climactic Visuals,exp.php?ID=111641
Freaky*FLO,Feb 21 2018, ,LSD,A Cure for Cluster Headaches,exp.php?ID=70097
Optimusprime,Feb 3 2018, ,LSD,Bad Trip,exp.php?ID=66686
Fiona F.,Feb 3 2018, ,LSD,Beautiful Madness,exp.php?ID=51907
Brooklyn bomber,Jan 20 2018, ,LSD,Some Scary Scenes I Can't Remember,exp.php?ID=10726
matt,Jan 18 2018, ,LSD,The Man Within,exp.php?ID=54801
J,Jan 14 2018, ,LSD,The Loop That Changed My Life,exp.php?ID=109688
Jack Daniel,Jan 7 2018, ,LSD,Narnia And The Golden Flame,exp.php?ID=45974
Pink Tool,Sep 3 2017, ,LSD,Peak of My Life,exp.php?ID=51225
shades,Jul 18 2017, ,LSD,Face In the Clouds,exp.php?ID=72407
Caio Cezar,Jul 16 2017, ,LSD,My Hand Melted Into My Forehead,exp.php?ID=97458
AJ,May 29 2017, ,LSD,Generally Enjoyable,exp.php?ID=109057
IDontKnowAnymore,Apr 17 2017, ,LSD,Losing Touch With Reality,exp.php?ID=108662
JuJu,Apr 14 2017, ,LSD,Explosions In The Sky,exp.php?ID=110268
Tragic Fool,Nov 17 2016, ,LSD,Of Mango Juice and Famous Folk,exp.php?ID=73122
SeeinSensi,Sep 18 2014, ,LSD,Bliss and a Baby's Head,exp.php?ID=88733
HippyFlipper,Jun 18 2014, ,LSD,Kulu Castle LSD Trip,exp.php?ID=68313
Explorers Club,Jun 18 2013, ,LSD,Not Fucking Around,exp.php?ID=93816
Fractalbeat,Aug 10 2009, ,LSD,The True Nature of Humanity ,exp.php?ID=69278
Blair Witch,Jun 6 2009, ,LSD,Roller Coasters in the Sky with Diamonds,exp.php?ID=66475
Gargle,Jul 13 2005, ,LSD,The Windows From My Room,exp.php?ID=10093
soma junkie,Jun 14 2005, ,LSD,Tripping Home Alone,exp.php?ID=17422
Shard,Jan 26 2005, ,LSD,Consciousness Altered,exp.php?ID=12658
Treefingers,Mar 8 2004, ,LSD,Terror and Beauty,exp.php?ID=30683
Floyd F,Feb 20 2004, ,LSD,"Intelligence Enhancement, Without Empathy",exp.php?ID=18486
siznack,Jul 12 2003, ,LSD,The Acid Faerie,exp.php?ID=25019
ellipsis,Jun 11 2003, ,LSD,Aytomatik Ixe,exp.php?ID=24375
miracle,Jan 28 2003, ,LSD,An Encounter With Light,exp.php?ID=7264
TripleStacked2k,Feb 28 2002, ,LSD,Papers Can Hit Harder Than Gels,exp.php?ID=6506
Symptom6,Jan 20 2002, ,LSD,LSD Revelations,exp.php?ID=5673
Beaker,Jan 12 2002, ,LSD,The Observed Becomes The Observer,exp.php?ID=5239
schrodinger,Jan 11 2002, ,LSD,Complex White Misty Cloud,exp.php?ID=5223
Road Tripper,Mar 5 2001, ,LSD,"Good Times, Bad Times",exp.php?ID=5307
Peachez,Mar 5 2001, ,LSD,"Bad Idea, But A Lot Learned",exp.php?ID=1534
polypolyman,Dec 12 2018,New,LSD,My Best Birthday Ever,exp.php?ID=96678
kiz13,Nov 27 2018,New,LSD,Hypnosis Whilst Very High,exp.php?ID=18675
C-shake,Nov 27 2018,New,LSD,A Night With Lucy and Morning With the Sun,exp.php?ID=56014
sam,Nov 12 2018, ,LSD,Weird and Confusing Night,exp.php?ID=58147
Skythe,Sep 5 2018, ,LSD,I Had Never Done Anything Before,exp.php?ID=111432
Mike,Aug 31 2018, ,LSD,Sent to the Assistant Principles Office,exp.php?ID=109738
cid,Aug 15 2018, ,LSD,In the Midst,exp.php?ID=60225
MJ,Jul 16 2018, ,LSD,Half My Ego Flew Out the Car Window,exp.php?ID=84118
ogre,Jul 16 2018, ,LSD,After This I Felt Motivated,exp.php?ID=61751
Mark S,Jul 16 2018, ,LSD,The Auditory Hallucinations,exp.php?ID=57443
C,Jul 15 2018, ,LSD,The World Became Changed as in a Dream,exp.php?ID=28090
the man,Jul 15 2018, ,LSD,"Every Thing Is Soft, Hard, and Soundless",exp.php?ID=45733
Day Tripper,Jul 14 2018, ,LSD,Wave of Mutilation,exp.php?ID=53556
Dave,Jul 14 2018, ,LSD,This Terrified the Hell Out of Me,exp.php?ID=55318
Newt,Jul 5 2018, ,LSD,Wandering Around Town,exp.php?ID=34622
Tripsta C,Jul 2 2018, ,LSD,Constantly Touching the Grass,exp.php?ID=112075
Benny,Jun 18 2018, ,LSD,This Trip Took the Biscuit,exp.php?ID=17220
Pyrodelic Aidelon,Jun 18 2018, ,LSD,"Tattoo on a Tab, a Good Idea for the Pain",exp.php?ID=70183
Shaman,Jun 17 2018, ,LSD,A Trip and a Half,exp.php?ID=49782
hypnoticdisco,Jun 17 2018, ,LSD,Everything Was So Beautiful,exp.php?ID=54676
cody,Jun 17 2018, ,LSD,The Most Intense Trip Ive Ever Had,exp.php?ID=77279
R A E,Jun 5 2018, ,LSD,Acrid,exp.php?ID=43438
Tristan X,May 31 2018, ,LSD,A Great Way to Start Spring Break,exp.php?ID=111748
lucytripper420,May 25 2018, ,LSD,Empty Vial,exp.php?ID=111814
shymanic,May 23 2018, ,LSD,Bad Trip,exp.php?ID=110119
Aires92,Apr 20 2018, ,LSD,Day Tripper,exp.php?ID=110205
Zach I.,Apr 19 2018, ,LSD,Infinate Nothingness,exp.php?ID=67800
skye,Apr 19 2018, ,LSD,4th Dimension,exp.php?ID=34640
fej,Mar 29 2018, ,LSD,My Face Hurt From All the Smiling,exp.php?ID=100793
Disappointed,Mar 10 2018, ,LSD,Waste of a Trip,exp.php?ID=111711
Basho,Feb 21 2018, ,LSD,Well This Isn't a Kaleidoscope at All!,exp.php?ID=66200
T,Feb 21 2018, ,LSD,The Effects Never Came,exp.php?ID=41899
You Try,Feb 21 2018, ,LSD,Space Travel and Deity,exp.php?ID=81725
Pyordelic Aidelon,Feb 21 2018, ,LSD,Micrograms of Infinity,exp.php?ID=71722
Yayunk,Feb 3 2018, ,LSD,Battle Royale and Kittens,exp.php?ID=66136
Lan,Jan 20 2018, ,LSD,After This Experience I Want Life After Death,exp.php?ID=51769
DXM,Jan 20 2018, ,LSD,Hyper Then Passed Out,exp.php?ID=31704
Link,Jan 18 2018, ,LSD,My Mind DId Things I Didn't Know It Could,exp.php?ID=15651
dudeman10,Jan 13 2018, ,LSD,Love In My Veins - No More Anger,exp.php?ID=87566
lol,Jan 9 2018, ,LSD,Metaphorically Melting Flesh,exp.php?ID=55337
Lag,Jan 9 2018, ,LSD,The Night The World Came,exp.php?ID=29920
festi,Jan 9 2018, ,LSD,"Sensing Energy, Using The Force",exp.php?ID=66582
RicerS,Nov 29 2017, ,LSD,Rolling Energy,exp.php?ID=111129
Torchlight4,Sep 26 2017, ,LSD,King of the Spaztastic Rainbow World,exp.php?ID=111037
UnKle_DaVe,Feb 8 2017, ,LSD,Cobwebs,exp.php?ID=107444
Silvasurfer420,Mar 2 2009, ,LSD,"Good Trip, Bad Timing",exp.php?ID=55418
The Solid Sender,Feb 6 2008, ,LSD,The Trip Of Dreams,exp.php?ID=55427
Jimi Saginaw,Jun 19 2007, ,LSD,Acid Worm Poetry,exp.php?ID=51962
oscar,May 16 2004, ,LSD,Giggling Moose Country Wizard,exp.php?ID=33561
Zelda,Oct 26 2003, ,LSD,LSD Induced Psychosis,exp.php?ID=27875
Kiljenrious,Feb 4 2003, ,LSD,I'm Taking a Break,exp.php?ID=20945
Cheshyre,Jan 28 2003, ,LSD,The Beauty of Everything,exp.php?ID=7260
toothbrush,Dec 7 2001, ,LSD,"Tonight, Tonight",exp.php?ID=3312
Ell S. Dee,Oct 2 2001, ,LSD,A Night in the Woods,exp.php?ID=326
charly,Sep 28 2001, ,LSD,A Real Live Leprechaun,exp.php?ID=9698
YD 'The Bear',Jul 30 2001, ,LSD,A Delightful New Years' Eve,exp.php?ID=127
Satan Himself,Feb 26 2001, ,LSD,LSD & Dreaming,exp.php?ID=5331
^Monk_E^,Feb 4 2001, ,LSD,Great experience,exp.php?ID=4181
Dark Star,Feb 3 2001, ,LSD,An LSD Let Down,exp.php?ID=2756
Matfei,Jan 15 2001, ,LSD,Down in the Park,exp.php?ID=867
Stephen,Nov 21 2000, ,LSD,LSD sensory  amplifier=Tripping,exp.php?ID=3665
Anonymous,Nov 20 2000, ,LSD,Unknown Visions,exp.php?ID=3772
Murple,Nov 20 2000, ,LSD,Zlerty-zot meep awwww znew,exp.php?ID=2355
mayan mad man,Nov 14 2000, ,LSD,No Coming Back,exp.php?ID=985
G,Oct 28 2000, ,LSD,LSD Premonitions,exp.php?ID=3505
Mac,Oct 20 2000, ,LSD,Acid - My New Best Friend,exp.php?ID=3394
Peace Girl,Oct 9 2000, ,LSD,You Never Really Come Down,exp.php?ID=675
Cracker,Oct 9 2000, ,LSD,Good for Some Things,exp.php?ID=672
J,Oct 7 2000, ,LSD,Merging with the Fourth Dimension,exp.php?ID=2516
Luke Collyer (England),Sep 13 2000, ,LSD,Good?  Bad?  But Controlled,exp.php?ID=502
DNICE,Sep 11 2000, ,LSD,10 Tabs of Acid+Me=Bad,exp.php?ID=1152
Sandoz,Jun 13 2000, ,LSD,LSD: Rainbow style,exp.php?ID=395
